Drug	Sample	Efficacy	Measurement	Value
Diphenhydramine	ipn02.3	NA	TAUC	508.5364565
Daphnetin	ipn02.3	NA	TAUC	482.3650263
4',7-Dihydroxyisoflavanone	ipn02.3	NA	TAUC	550.820681
Dipyridamole	ipn02.3	NA	TAUC	516.9801818
Propofol	ipn02.3	NA	TAUC	523.8095212
Etodolac	ipn02.3	NA	TAUC	555.572813
Ethosuximide	ipn02.3	NA	TAUC	533.2166367
Emodin	ipn02.3	NA	TAUC	550.1782871
Felbamate	ipn02.3	NA	TAUC	543.9735042
Fluphenazine hydrochloride	ipn02.3	NA	TAUC	462.2003856
Fenofibrate	ipn02.3	NA	TAUC	516.4818374
Flumazenil	ipn02.3	NA	TAUC	523.1091662
Fluorouracil	ipn02.3	NA	TAUC	519.3193331
Flecainide	ipn02.3	NA	TAUC	448.8407967
Fenoldopam	ipn02.3	NA	TAUC	491.5514451
Salirasib	ipn02.3	NA	TAUC	412.5872688
Flupirtine maleate	ipn02.3	NA	TAUC	547.3078185
Flutamide	ipn02.3	NA	TAUC	469.3799391
Glipizide	ipn02.3	NA	TAUC	504.2106164
GYKI-52466	ipn02.3	NA	TAUC	474.8478412
Gabapentin	ipn02.3	NA	TAUC	501.8337211
Ganciclovir	ipn02.3	NA	TAUC	505.0685924
GW-5074	ipn02.3	NA	TAUC	560.6154632
Genistein	ipn02.3	NA	TAUC	536.9025856
GW-7647	ipn02.3	NA	TAUC	484.1304048
Gallamine triethiodide	ipn02.3	NA	TAUC	513.1576256
GBR-12935	ipn02.3	NA	TAUC	501.1593208
Haloperidol	ipn02.3	NA	TAUC	478.5760548
Hydralazine hydrochloride	ipn02.3	NA	TAUC	490.6037567
Hydrochlorothiazide	ipn02.3	NA	TAUC	493.8149318
Histamine dihydrochloride	ipn02.3	NA	TAUC	536.3460884
Dopamine HCl	ipn02.3	NA	TAUC	516.7122538
Hydroxyurea	ipn02.3	NA	TAUC	473.7392092
Ibuprofen lysine	ipn02.3	NA	TAUC	547.7568812
Isoprenaline hydrochloride	ipn02.3	NA	TAUC	507.8811191
Indomethacin	ipn02.3	NA	TAUC	511.6053477
Ketoprofen	ipn02.3	NA	TAUC	511.3254346
Ketotifen	ipn02.3	-	TAUC	462.2524386
Linopirdine	ipn02.3	NA	TAUC	498.3035741
beta-Lapachone	ipn02.3	NA	TAUC	539.0024102
LY310762	ipn02.3	NA	TAUC	489.4635799
Lomefloxacin hydrochloride	ipn02.3	NA	TAUC	508.4314119
Lamotrigine	ipn02.3	NA	TAUC	519.8572784
Loperamide hydrochloride	ipn02.3	NA	TAUC	504.8262113
Lonidamine	ipn02.3	NA	TAUC	553.2795265
Leflunomide	ipn02.3	NA	TAUC	529.3328386
Lansoprazole	ipn02.3	NA	TAUC	511.6936982
Loratadine	ipn02.3	NA	TAUC	523.579915
LY-294002	ipn02.3	NA	TAUC	488.0925868
Fomepizole	ipn02.3	NA	TAUC	388.6436427
Nocodazole	ipn02.3	NA	TAUC	175.2264116
Moxonidine hydrochloride hydrate	ipn02.3	NA	TAUC	507.3558001
Mianserin hydrochloride	ipn02.3	NA	TAUC	509.3857152
Morin hydrate	ipn02.3	NA	TAUC	544.371031
Minoxidil	ipn02.3	NA	TAUC	487.867783
Milrinone	ipn02.3	NA	TAUC	505.2562876
Melatonin	ipn02.3	NA	TAUC	414.7672056
MPEP	ipn02.3	NA	TAUC	522.6541677
Mitoxantrone	ipn02.3	NA	TAUC	264.5846416
Myricetin	ipn02.3	NA	TAUC	547.3806214
Memantine hydrochloride	ipn02.3	NA	TAUC	474.9493674
Maprotiline hydrochloride	ipn02.3	NA	TAUC	492.1920021
Naftopidil	ipn02.3	NA	TAUC	531.1334736
Niflumic acid	ipn02.3	NA	TAUC	507.0183954
Nimesulide	ipn02.3	NA	TAUC	512.5362563
Niclosamide	ipn02.3	NA	TAUC	426.1460856
Nilutamide	ipn02.3	NA	TAUC	522.0333523
Oxymetazoline hydrochloride	ipn02.3	NA	TAUC	516.3354589
Oxybutynin chloride	ipn02.3	NA	TAUC	500.8335785
Orphenadrine hydrochloride	ipn02.3	NA	TAUC	485.9109606
Ofloxacin	ipn02.3	NA	TAUC	537.9769826
Progesterone	ipn02.3	NA	TAUC	492.5576469
PD-098059	ipn02.3	NA	TAUC	475.9882893
Papaverine hydrochloride	ipn02.3	NA	TAUC	530.7456831
Praziquantel	ipn02.3	NA	TAUC	494.8721826
Propafenone	ipn02.3	NA	TAUC	505.5765406
Piroxicam	ipn02.3	NA	TAUC	459.8803006
Phenelzine	ipn02.3	NA	TAUC	498.515239
Pyrazinamide	ipn02.3	NA	TAUC	480.1946545
Primidone	ipn02.3	NA	TAUC	477.205177
Phloretin	ipn02.3	NA	TAUC	503.7431923
Tranylcypromine	ipn02.3	NA	TAUC	515.314383
Prochlorperazine	ipn02.3	NA	TAUC	478.8193037
Quercetine	ipn02.3	NA	TAUC	477.6905151
Quinidine	ipn02.3	NA	TAUC	577.4654997
Riluzole	ipn02.3	NA	TAUC	510.3322942
Risperidone???	ipn02.3	NA	TAUC	489.689673
Rilmenidine	ipn02.3	NA	TAUC	504.779051
Ritodrine hydrochloride	ipn02.3	NA	TAUC	506.8870967
Reserpine	ipn02.3	NA	TAUC	501.9947616
Raloxifene hydrochloride	ipn02.3	NA	TAUC	476.2738008
Rutaecarpine	ipn02.3	NA	TAUC	516.9329226
Ranolazine	ipn02.3	NA	TAUC	497.1885627
Rolipram	ipn02.3	NA	TAUC	508.9225996
SB-206553	ipn02.3	NA	TAUC	489.2488491
SB-224289	ipn02.3	NA	TAUC	498.8129721
Sotalol	ipn02.3	NA	TAUC	547.7057938
Synephrine	ipn02.3	NA	TAUC	504.8029864
Sulfaphenazole	ipn02.3	NA	TAUC	517.7204613
Spermidine	ipn02.3	NA	TAUC	479.4393451
SB-415286	ipn02.3	NA	TAUC	460.1517126
Salbutamol sulfate	ipn02.3	NA	TAUC	504.4988956
SP-600125	ipn02.3	NA	TAUC	433.0430575
SB-202190	ipn02.3	NA	TAUC	510.5850287
Levosulpiride	ipn02.3	NA	TAUC	498.6344506
Sulindac	ipn02.3	NA	TAUC	490.7031324
SK&F-89976A	ipn02.3	NA	TAUC	502.7485828
Thalidomide	ipn02.3	NA	TAUC	572.8826368
Taurine	ipn02.3	NA	TAUC	505.7811732
Disulfiram	ipn02.3	NA	TAUC	398.1537554
Tyrphostin B42	ipn02.3	NA	TAUC	551.9520181
AG-1478	ipn02.3	NA	TAUC	380.8281206
Theobromine	ipn02.3	NA	TAUC	514.7856758
Taxifolin	ipn02.3	NA	TAUC	492.7620932
Terazosin hydrochloride	ipn02.3	NA	TAUC	472.1133679
Trazodone hydrochloride	ipn02.3	NA	TAUC	490.2145465
Verapamil	ipn02.3	NA	TAUC	542.4100573
WAY-100635	ipn02.3	NA	TAUC	497.8145949
Xylometazoline hydrochloride	ipn02.3	NA	TAUC	487.4803584
Lificiguat	ipn02.3	NA	TAUC	512.0515677
WIN-55212-2	ipn02.3	NA	TAUC	496.3020183
Propylthiouracil	ipn02.3	NA	TAUC	494.4028461
Furosemide	ipn02.3	NA	TAUC	503.4980611
Isoniazid	ipn02.3	NA	TAUC	501.5170855
Scopolamine	ipn02.3	NA	TAUC	534.512511
Chlorhexidine	ipn02.3	NA	TAUC	440.6435196
Pyrimethamine	ipn02.3	NA	TAUC	448.1348318
Menadione	ipn02.3	NA	TAUC	456.861849
Niacin	ipn02.3	NA	TAUC	522.2160354
Levodopa	ipn02.3	NA	TAUC	482.8515063
Sulfanilamide	ipn02.3	NA	TAUC	536.367823
Silver sulfadiazine	ipn02.3	NA	TAUC	494.6737536
D-Cycloserine	ipn02.3	NA	TAUC	509.3953831
Phentolamine mesilate	ipn02.3	NA	TAUC	516.1909724
Riboflavin	ipn02.3	NA	TAUC	533.003674
4-methylumbelliferone	ipn02.3	NA	TAUC	528.0756712
Monobenzone	ipn02.3	NA	TAUC	496.8552402
Acetaminophen	ipn02.3	NA	TAUC	513.7262903
Chlorphenamine maleate	ipn02.3	NA	TAUC	489.0566304
Diclofenamide	ipn02.3	NA	TAUC	536.7955505
Sulphadimethoxine	ipn02.3	NA	TAUC	473.5197848
Sulfafurazole	ipn02.3	NA	TAUC	517.896131
Noscapine	ipn02.3	NA	TAUC	369.7652434
Sulfamethizole	ipn02.3	NA	TAUC	499.4069688
Sulfapyridine	ipn02.3	NA	TAUC	504.4129001
Thiabendazole	ipn02.3	NA	TAUC	436.7087891
Methoxsalen	ipn02.3	NA	TAUC	533.593977
(-)-Gossypol	ipn02.3	NA	TAUC	492.2905083
Procarbazine hydrochloride	ipn02.3	NA	TAUC	404.2869138
Metronidazole	ipn02.3	NA	TAUC	488.604931
Proscillaridin	ipn02.3	NA	TAUC	235.43285
5,7-Dihydroxyflavone	ipn02.3	NA	TAUC	479.2731463
Naringenin	ipn02.3	NA	TAUC	550.3860003
Cytisine	ipn02.3	NA	TAUC	488.3412643
Luteolin	ipn02.3	NA	TAUC	505.880083
Kaempferol	ipn02.3	NA	TAUC	480.5495328
Kinetin	ipn02.3	NA	TAUC	530.7995455
Ethionamide	ipn02.3	NA	TAUC	510.1877841
Berberine	ipn02.3	NA	TAUC	495.5989048
Sulfameter	ipn02.3	NA	TAUC	502.8075324
Sulfamethoxazole	ipn02.3	NA	TAUC	494.8360787
Phenformin hydrochloride	ipn02.3	NA	TAUC	492.2412238
7-Aminocephalosporanic acid	ipn02.3	NA	TAUC	497.7128303
Metformin HCl	ipn02.3	NA	TAUC	543.9876248
Tranexamic acid	ipn02.3	NA	TAUC	530.5347131
Flucytosine	ipn02.3	NA	TAUC	512.9577224
Tolnaftate	ipn02.3	NA	TAUC	496.993306
Bufexamac	ipn02.3	NA	TAUC	510.2696534
Sulfadoxine	ipn02.3	NA	TAUC	497.5760573
Moroxydine	ipn02.3	NA	TAUC	541.0124568
Streptomycin sulfate	ipn02.3	NA	TAUC	579.1234148
Trioxsalen	ipn02.3	NA	TAUC	491.2844744
Methacycline hydrochloride	ipn02.3	NA	TAUC	550.2741869
Vidarabine	ipn02.3	NA	TAUC	531.9493688
Halopyramine	ipn02.3	NA	TAUC	520.5394016
Parbendazole	ipn02.3	NA	TAUC	218.2305687
Clemastine fumarate	ipn02.3	NA	TAUC	488.197892
Prazosin hydrochloride	ipn02.3	NA	TAUC	470.6082905
Clindamycin hydrochloride	ipn02.3	NA	TAUC	530.9741111
Naproxen sodium	ipn02.3	NA	TAUC	531.381609
Probucol	ipn02.3	NA	TAUC	483.3491342
Mycophenolic acid	ipn02.3	NA	TAUC	495.947933
Gemfibrozil	ipn02.3	NA	TAUC	504.9928977
Amoxicillin sodium	ipn02.3	NA	TAUC	513.7558992
Mebendazole	ipn02.3	NA	TAUC	356.9884406
Buflomedil hydrochloride	ipn02.3	NA	TAUC	497.9561896
Fenbendazole	ipn02.3	NA	TAUC	415.9922764
Acemetacin	ipn02.3	NA	TAUC	519.1307671
Ticlopidine hydrochloride	ipn02.3	NA	TAUC	495.9323286
Torasemide	ipn02.3	NA	TAUC	521.0787879
Tenoxicam	ipn02.3	NA	TAUC	522.4025243
S-(+)-Rolipram	ipn02.3	NA	TAUC	462.9653579
Norfloxacin	ipn02.3	NA	TAUC	414.7124528
Omeprazole	ipn02.3	NA	TAUC	497.8920982
Enoxacin	ipn02.3	NA	TAUC	495.1264408
Aztreonam	ipn02.3	NA	TAUC	553.5985275
Ciprofloxacin	ipn02.3	NA	TAUC	513.1827362
Glimepiride	ipn02.3	NA	TAUC	519.703022
Letrozole	ipn02.3	NA	TAUC	501.3611042
Repaglinide	ipn02.3	NA	TAUC	490.7179128
Proparacaine	ipn02.3	NA	TAUC	512.5574364
Camptothecin	ipn02.3	NA	TAUC	331.3294994
ciclopirox	ipn02.3	NA	TAUC	435.5805254
Cefoperazone sodium	ipn02.3	NA	TAUC	581.7692785
Curcumin	ipn02.3	NA	TAUC	496.631127
Ursolic acid	ipn02.3	NA	TAUC	482.3717896
Baicalein	ipn02.3	NA	TAUC	521.3841034
Enoxolone	ipn02.3	NA	TAUC	518.6934391
Ellagic acid	ipn02.3	NA	TAUC	521.4807778
Embelin	ipn02.3	NA	TAUC	400.7264143
Cyanein	ipn02.3	NA	TAUC	224.9724212
Galantamine hydrobromide	ipn02.3	NA	TAUC	511.3790925
Formononetin	ipn02.3	NA	TAUC	515.1573239
Tretinoin	ipn02.3	NA	TAUC	444.5506484
Uridine	ipn02.3	NA	TAUC	535.8334979
Tetracycline hydrochloride	ipn02.3	NA	TAUC	536.6836631
Simvastatin	ipn02.3	NA	TAUC	420.9322439
Capsaicin	ipn02.3	NA	TAUC	468.9679572
Antimycin A	ipn02.3	NA	TAUC	429.706324
Fisetin	ipn02.3	NA	TAUC	506.1662004
Resveratrol	ipn02.3	NA	TAUC	545.2142427
Spectinomycin hydrochloride	ipn02.3	NA	TAUC	380.7340528
Rotenone	ipn02.3	NA	TAUC	407.2062675
cycloheximide	ipn02.3	NA	TAUC	395.0732624
Caffeic acid	ipn02.3	NA	TAUC	528.0733595
Biochanin A	ipn02.3	NA	TAUC	500.2916684
Tetrandrine	ipn02.3	NA	TAUC	437.7430317
G-Strophanthin	ipn02.3	NA	TAUC	239.6098302
Dyphylline	ipn02.3	NA	TAUC	503.8522704
Fasudil	ipn02.3	NA	TAUC	468.5570458
Flunarizine	ipn02.3	NA	TAUC	532.1262898
Theophyllamine	ipn02.3	NA	TAUC	520.2660951
Ipriflavone	ipn02.3	NA	TAUC	510.617306
Dienestrol	ipn02.3	NA	TAUC	514.7319929
Flurbiprofen	ipn02.3	NA	TAUC	499.7645183
Doxazosin mesylate	ipn02.3	NA	TAUC	522.2986287
Indapamide	ipn02.3	NA	TAUC	530.888146
Estrone	ipn02.3	NA	TAUC	514.9748331
Nalidixic acid	ipn02.3	NA	TAUC	507.2482001
Tranilast	ipn02.3	NA	TAUC	570.7181877
Fluvoxamine maleate	ipn02.3	NA	TAUC	471.9444743
Rhein	ipn02.3	NA	TAUC	533.0064063
Vinpocetine	ipn02.3	NA	TAUC	460.0865953
Edaravone	ipn02.3	NA	TAUC	492.4472275
Oxibendazole	ipn02.3	NA	TAUC	189.9601333
Meloxicam	ipn02.3	NA	TAUC	522.861247
Methocarbamol	ipn02.3	NA	TAUC	498.376386
Econazole nitrate	ipn02.3	NA	TAUC	504.7303809
Perhexiline	ipn02.3	NA	TAUC	484.4847962
Famotidine	ipn02.3	NA	TAUC	510.9700016
Miconazole nitrate	ipn02.3	NA	TAUC	500.7035782
Meclizine hydrochloride	ipn02.3	NA	TAUC	511.3989643
Trichlormethiazide	ipn02.3	NA	TAUC	503.4757667
Ketanserin	ipn02.3	NA	TAUC	523.449635
Cortisone acetate	ipn02.3	NA	TAUC	494.7474607
Fluocinolone acetonide	ipn02.3	NA	TAUC	470.0523484
Sirolimus	ipn02.3	+	TAUC	340.7942013
Diclofenac sodium	ipn02.3	NA	TAUC	487.4026332
Enalapril maleate	ipn02.3	NA	TAUC	514.9248142
Prednisolone acetate	ipn02.3	NA	TAUC	455.6167668
Picropodophyllin	ipn02.3	NA	TAUC	62.28979567
Medroxyprogesterone acetate	ipn02.3	NA	TAUC	498.0786794
Fluocinonide	ipn02.3	NA	TAUC	464.1543959
Cladribine	ipn02.3	NA	TAUC	579.6695457
Cefaclor	ipn02.3	NA	TAUC	487.4061366
Rifampicin	ipn02.3	NA	TAUC	646.8544248
Methylprednisolone	ipn02.3	NA	TAUC	468.5426792
Ipratropium bromide	ipn02.3	NA	TAUC	498.3382517
Hydrocortisone	ipn02.3	NA	TAUC	488.6790791
Sodium cromoglycate	ipn02.3	NA	TAUC	492.1868699
Pancuronium bromide	ipn02.3	NA	TAUC	523.1806231
Triamcinolone acetonide	ipn02.3	NA	TAUC	450.9574453
Stavudine	ipn02.3	NA	TAUC	489.6533403
Clobetasol propionate	ipn02.3	NA	TAUC	447.6804544
Lovastatin	ipn02.3	NA	TAUC	480.312827
Adenosine	ipn02.3	NA	TAUC	500.9987213
Floxuridine	ipn02.3	NA	TAUC	458.2878234
Zidovudine	ipn02.3	NA	TAUC	471.9547961
Megestrol acetate	ipn02.3	NA	TAUC	464.0921915
Daunorubicin	ipn02.3	NA	TAUC	299.787298
Phenylephrine hydrochloride	ipn02.3	NA	TAUC	519.2837588
Penicillamine	ipn02.3	NA	TAUC	513.6539027
Emetine	ipn02.3	NA	TAUC	334.9230794
Doxorubicin	ipn02.3	NA	TAUC	328.9646593
Naltrexone hydrochloride	ipn02.3	NA	TAUC	496.8475509
nor-Binaltorphimine	ipn02.3	NA	TAUC	504.1834254
Azasetron hydrochloride	ipn02.3	NA	TAUC	536.1013314
Calpeptin	ipn02.3	NA	TAUC	516.3025106
EBPC	ipn02.3	NA	TAUC	530.0533644
Methyldopa	ipn02.3	NA	TAUC	486.2597795
L-NAME	ipn02.3	NA	TAUC	512.9507983
L-690330	ipn02.3	NA	TAUC	534.2006861
Tesmilifene hydrochloride	ipn02.3	NA	TAUC	554.3795995
Bisoprolol	ipn02.3	NA	TAUC	512.089343
BD-1047	ipn02.3	NA	TAUC	484.9512547
Tamoxifen	ipn02.3	NA	TAUC	498.2257723
ICI-D7288	ipn02.3	NA	TAUC	524.4617155
PD-153035	ipn02.3	NA	TAUC	331.069857
CGS-21680	ipn02.3	NA	TAUC	544.2428783
Selegiline hydrochloride	ipn02.3	NA	TAUC	496.9868361
Paclitaxel	ipn02.3	NA	TAUC	146.9216722
Procaterol hydrochloride	ipn02.3	NA	TAUC	533.7058263
Ketoconazole	ipn02.3	NA	TAUC	512.5520982
AM-630	ipn02.3	NA	TAUC	470.8290114
Yohimbine	ipn02.3	NA	TAUC	492.6059906
U-0126	ipn02.3	NA	TAUC	473.4660775
SB-203580	ipn02.3	NA	TAUC	539.8648219
Actinomycin D	ipn02.3	NA	TAUC	125.0708194
Methotrexate	ipn02.3	NA	TAUC	343.4155531
PD-128907	ipn02.3	NA	TAUC	491.9071659
U-73122??	ipn02.3	NA	TAUC	541.6530366
GR-159897	ipn02.3	NA	TAUC	516.8187474
LFM-A13	ipn02.3	NA	TAUC	549.7395477
Monastrol	ipn02.3	NA	TAUC	277.9625118
ZM-336372	ipn02.3	NA	TAUC	520.7892686
Colchicine	ipn02.3	NA	TAUC	67.82035162
Omacetaxine mepesuccinate	ipn02.3	NA	TAUC	561.4732247
Etomidate	ipn02.3	NA	TAUC	542.0264397
Mifepristone	ipn02.3	NA	TAUC	410.4287717
Ozagrel hydrochloride	ipn02.3	NA	TAUC	509.2127453
HA-14-1	ipn02.3	NA	TAUC	537.436551
Purvalanol A	ipn02.3	NA	TAUC	381.7957154
Purvalanol B	ipn02.3	NA	TAUC	329.6140207
SCH-79797	ipn02.3	NA	TAUC	370.6237582
SB-431542	ipn02.3	NA	TAUC	569.0075972
Alprostadil	ipn02.3	NA	TAUC	385.5533619
Streptozocin	ipn02.3	NA	TAUC	554.7565516
Ginkgolide B	ipn02.3	NA	TAUC	504.3799445
Deguelin	ipn02.3	NA	TAUC	508.9551976
Gabexate mesilate	ipn02.3	NA	TAUC	506.5532502
2-Methoxyestradiol	ipn02.3	NA	TAUC	425.3988207
Ubenimex	ipn02.3	NA	TAUC	504.3132306
Vapiprost hydrochloride	ipn02.3	NA	TAUC	504.5153777
SB-239063	ipn02.3	NA	TAUC	529.7747883
SB-408124	ipn02.3	NA	TAUC	521.5646926
Isradipine	ipn02.3	NA	TAUC	518.821914
Mirtazapine	ipn02.3	NA	TAUC	516.0875837
Paroxetine	ipn02.3	NA	TAUC	600.444666
Nicorandil	ipn02.3	NA	TAUC	490.0388681
SR 33805	ipn02.3	NA	TAUC	522.3516016
NCGC00037850	ipn02.3	NA	TAUC	534.2071439
Nevirapine	ipn02.3	NA	TAUC	473.1611457
Oxcarbazepine	ipn02.3	NA	TAUC	488.9548656
Gatifloxacin	ipn02.3	NA	TAUC	508.8403868
Imiquimod	ipn02.3	NA	TAUC	481.4417303
KL001	ipn02.3	NA	TAUC	547.5937849
SID 7969543	ipn02.3	NA	TAUC	520.0493548
Droxinostat	ipn02.3	NA	TAUC	461.5076103
Isoliquiritigenin	ipn02.3	NA	TAUC	500.3906527
Nitrofurazone	ipn02.3	NA	TAUC	498.2992388
Didanosine	ipn02.3	NA	TAUC	508.7283712
Zalcitabine	ipn02.3	NA	TAUC	489.3300781
Ribavirin	ipn02.3	NA	TAUC	506.0401089
Diethylstilbestrol	ipn02.3	NA	TAUC	496.7353984
Fenretinide	ipn02.3	NA	TAUC	447.2014865
Azithromycin (AZ)	ipn02.3	NA	TAUC	523.6086509
Melphalan	ipn02.3	NA	TAUC	508.9951655
Cisplatin	ipn02.3	NA	TAUC	552.4108285
Rifabutin	ipn02.3	NA	TAUC	483.1701096
Prednisone???	ipn02.3	NA	TAUC	529.9376431
Nitazoxanide	ipn02.3	NA	TAUC	524.7710024
Viracept	ipn02.3	NA	TAUC	486.9421443
Digoxin	ipn02.3	NA	TAUC	327.8373224
Amphotericin B	ipn02.3	NA	TAUC	394.3022331
5-Azacitidine	ipn02.3	NA	TAUC	451.7762867
Sulfasalazine	ipn02.3	NA	TAUC	471.9714058
Busulfan	ipn02.3	NA	TAUC	577.0893217
Methyltestosterone	ipn02.3	NA	TAUC	563.4483292
Chloramphenicol	ipn02.3	NA	TAUC	493.4152306
Hydroxyflutamide	ipn02.3	NA	TAUC	473.8368618
Dexamethasone	ipn02.3	NA	TAUC	457.1077672
Cyproterone acetate	ipn02.3	NA	TAUC	478.8340741
Silybin	ipn02.3	NA	TAUC	500.771137
5-Hydroxytryptophan	ipn02.3	NA	TAUC	506.4049973
Aspartame	ipn02.3	NA	TAUC	529.2342264
Neohesperidin dihydrochalcone	ipn02.3	NA	TAUC	482.192493
Methylrosaniline chloride	ipn02.3	NA	TAUC	378.7213707
Asaraldehyde	ipn02.3	NA	TAUC	503.1231474
Oxytetracycline	ipn02.3	NA	TAUC	536.0431503
Daminozide	ipn02.3	NA	TAUC	515.8712119
Celecoxib	ipn02.3	NA	TAUC	538.2485466
Ethinylestradiol	ipn02.3	NA	TAUC	516.1308997
Estradiol	ipn02.3	NA	TAUC	509.4134533
Octocrylene	ipn02.3	NA	TAUC	516.4427872
Chrysophanol	ipn02.3	NA	TAUC	513.9171151
Chlormethine	ipn02.3	NA	TAUC	525.026595
Dacarbazine	ipn02.3	NA	TAUC	548.6947337
Y-27632	ipn02.3	NA	TAUC	460.6675035
AHPN	ipn02.3	NA	TAUC	413.5744609
(-)-Blebbistatin	ipn02.3	NA	TAUC	568.0723409
DA-3003-1	ipn02.3	NA	TAUC	353.2318062
SL-327	ipn02.3	NA	TAUC	512.6829221
Amisulpride	ipn02.3	NA	TAUC	493.888589
Triciribine	ipn02.3	NA	TAUC	496.7070377
NSC 23766	ipn02.3	NA	TAUC	481.8460018
Eliprodil	ipn02.3	NA	TAUC	488.1530525
GW-0742	ipn02.3	NA	TAUC	553.3216777
Sibutramine hydrochloride	ipn02.3	NA	TAUC	519.4781354
Cordycepin	ipn02.3	NA	TAUC	510.8086796
Prostaglandin E2	ipn02.3	NA	TAUC	381.2589484
PNU-282987	ipn02.3	NA	TAUC	481.4880137
Necrostatin-1	ipn02.3	NA	TAUC	521.6172916
JNJ-16259685	ipn02.3	NA	TAUC	517.5061144
ABT-702	ipn02.3	NA	TAUC	533.5460971
Fenobam	ipn02.3	NA	TAUC	492.5351413
LY-320135	ipn02.3	NA	TAUC	470.6470963
Mestranol	ipn02.3	NA	TAUC	526.3616441
Niacinamide	ipn02.3	NA	TAUC	522.6692145
Cytarabine	ipn02.3	NA	TAUC	538.1178145
Finasteride	ipn02.3	NA	TAUC	435.7612526
Brivudine	ipn02.3	NA	TAUC	499.0986605
Cyclosporine A	ipn02.3	NA	TAUC	451.5027044
